id;searchQuery;text;timestamp;cleanText;foundWord;socialMediaSense
1620047577906298880;m'agrada;"no m'agrada de fer servir el mot 'correcte'. direm que sempre és normatiu (ho accepten totes les grammàtiques actuals) però, tot i amb això, sempre és un castellanisme. no trobareu cap ""des de"" en els textos catalans antics.

sabut això, que cadascú faci el que consideri oportú.";30/1/23 14:13;"no m'agrada de fer servir el mot 'correcte'. direm que sempre és normatiu (ho accepten totes les grammàtiques actuals) però, tot i amb això, sempre és un castellanisme. no trobareu cap ""des de"" en els textos catalans antics. sabut això, que cadascú faci el que consideri oportú.";m'agrada;0
1620099264805486592;respondre;si la majoria de catalunya decideix que vol romandre a espanya, encara que no m'agradi ho respectaré. perquè t'és tan difícil fer el mateix si guanya el sí. cal respondre lo de la resta d'espanya, de veritat?;30/1/23 17:38;si la majoria de catalunya decideix que vol romandre a espanya, encara que no m'agradi ho respectaré. perquè t'és tan difícil fer el mateix si guanya el sí. cal respondre lo de la resta d'espanya, de veritat?;respondre;0
1620116848825217024;retuit;et segueixo i no puc fer retuit a les teves piulades.;30/1/23 18:48;et segueixo i no puc fer retuit a les teves piulades.;retuit;1
1652264071687806977;tuits;"sí.
solen ser tuits patrocinats. 
de pagament.";29/4/23 12:50;sí. solen ser tuits patrocinats. de pagament.;tuits;1
1652412536573108225;amic;gràcies amic!! ✊🏻;29/4/23 22:40;gràcies amic!! ✊🏻;amic;0
1619801223661748226;comentat;amb quin mobil has comentat?;29/1/23 21:54;amb quin mobil has comentat?;comentat;1
1620127924157566976;seguir;"🏛️ comença el #plehostalric ordinari d’avui dilluns 30 de gener.

📲 el podeu seguir en directe a través del canal de youtube de l'ajuntament d'#hostalric 👉🏻 bit.ly/3wi5ghq

👀 consulta l'ordre del dia de la sessió: buff.ly/3h5iy2m";30/1/23 19:32;🏛️ comença el ordinari d’avui dilluns 30 de gener. 📲 el podeu seguir en directe a través del canal de youtube de l'ajuntament d'👉🏻 👀 consulta l'ordre del dia de la sessió:;seguir;0
1620145898079817728;amic;això comentava jo en un amic, que me pareixeria un mal assumible;30/1/23 20:44;això comentava jo en un amic, que me pareixeria un mal assumible;amic;0
1652266764531531776;etiquetar;la necessitat d etiquetar rau en el fet que els que fugen d etiquetes son els que volen edulcorar una substitució cultural, per tant, és necessari etiquetar per posar en relleu els conceptes objectius i defensar el que volen fer desapareixer.;29/4/23 13:01;la necessitat d etiquetar rau en el fet que els que fugen d etiquetes son els que volen edulcorar una substitució cultural, per tant, és necessari etiquetar per posar en relleu els conceptes objectius i defensar el que volen fer desapareixer.;etiquetes;0
1718708884951409072;blocat;fent mongetes i de cap al compte b q estic (orgullosament 😌) blocat;29/10/23 20:18;fent mongetes i de cap al compte b q estic (orgullosament 😌) blocat;blocat;1
